year_since_draft,metric_value,metric_percentile,prob_year3_decision,prob_year4_decision,prob_year5_decision,r_channel,g_channel,b_channel,rgb_color_hex
2,2275.4234778654313,44.168260038240916,0.3854356956853768,0.3854356956853768,0.3854356956853768,98,98,98,#626262
2,2383.7769768114044,45.506692160611856,0.41108917078628665,0.41108917078628665,0.41108917078628665,104,104,104,#686868
2,2492.1304757573776,47.22753346080306,0.4447768712759641,0.4447768712759641,0.4447768712759641,113,113,113,#717171
2,2600.48397470335,48.18355640535373,0.463734921893618,0.463734921893618,0.463734921893618,118,118,118,#767676
2,2708.8374736493233,48.94837476099426,0.4789798918730105,0.4789798918730105,0.4789798918730105,122,122,122,#7a7a7a
2,2817.190972595296,50.669216061185466,0.5133811252490361,0.5133811252490361,0.5133811252490361,130,130,130,#828282
2,2925.544471541269,52.19885277246654,0.5438640041822204,0.5438640041822204,0.5438640041822204,138,138,138,#8a8a8a
2,3033.897970487242,53.72848948374761,0.5740217890597455,0.5740217890597455,0.5740217890597455,146,146,146,#929292
2,3142.251469433215,55.640535372848944,0.6109346872119038,0.6109346872119038,0.6109346872119038,155,155,155,#9b9b9b
2,3250.604968379188,57.170172084130016,0.6395966141209984,0.6395966141209984,0.6395966141209984,163,163,163,#a3a3a3
2,3358.9584673251607,59.655831739961755,0.6840542140126447,0.6840542140126447,0.6840542140126447,174,174,174,#aeaeae
2,3467.3119662711338,61.5678776290631,0.7161472552587851,0.7161472552587851,0.7161472552587851,182,182,182,#b6b6b6
2,3575.665465217107,63.2887189292543,0.7432820391964435,0.7432820391964435,0.7432820391964435,189,189,189,#bdbdbd
2,3684.0189641630795,65.20076481835564,0.7713696485398895,0.7713696485398895,0.7713696485398895,196,196,196,#c4c4c4
2,3792.3724631090527,67.11281070745697,0.7972225587935773,0.7972225587935773,0.7972225587935773,203,203,203,#cbcbcb
2,3900.7259620550253,69.98087954110899,0.8318044887175414,0.8318044887175414,0.8318044887175414,212,212,212,#d4d4d4
2,4009.0794610009984,73.23135755258126,0.8651230190039453,0.8651230190039453,0.8651230190039453,220,220,220,#dcdcdc
