year,total_yards_adj,payment_probability,decision_year,k_value,metric_name
0.5641025641025641,5458.744020464961,100.0,3,5,total_yards_adj
0.5641025641025641,5519.100952798613,100.0,3,5,total_yards_adj
0.5641025641025641,5579.457885132266,100.0,3,5,total_yards_adj
0.5641025641025641,5639.814817465917,100.0,3,5,total_yards_adj
0.5641025641025641,5700.17174979957,100.0,3,5,total_yards_adj
0.5641025641025641,5760.528682133222,100.0,3,5,total_yards_adj
0.5641025641025641,5820.885614466874,100.0,3,5,total_yards_adj
0.5641025641025641,5881.242546800527,100.0,3,5,total_yards_adj
0.5641025641025641,5941.599479134178,100.0,3,5,total_yards_adj
0.5641025641025641,6001.956411467831,100.0,3,5,total_yards_adj
0.6153846153846154,26.62011043626799,60.0,3,5,total_yards_adj
0.6153846153846154,86.97704276992013,60.0,3,5,total_yards_adj
0.6153846153846154,147.33397510357227,60.0,3,5,total_yards_adj
0.6153846153846154,207.69090743722444,60.0,3,5,total_yards_adj
0.6153846153846154,268.0478397708766,60.0,3,5,total_yards_adj
0.6153846153846154,328.4047721045287,40.0,3,5,total_yards_adj
0.6153846153846154,388.76170443818086,40.0,3,5,total_yards_adj
0.6153846153846154,449.118636771833,40.0,3,5,total_yards_adj
0.6153846153846154,509.47556910548514,40.0,3,5,total_yards_adj
0.6153846153846154,569.8325014391373,40.0,3,5,total_yards_adj
0.6153846153846154,630.1894337727895,20.0,3,5,total_yards_adj
0.6153846153846154,690.5463661064416,20.0,3,5,total_yards_adj
0.6153846153846154,750.9032984400937,20.0,3,5,total_yards_adj
0.6153846153846154,811.2602307737459,20.0,3,5,total_yards_adj
0.6153846153846154,871.617163107398,20.0,3,5,total_yards_adj
0.6153846153846154,931.9740954410502,20.0,3,5,total_yards_adj
0.6153846153846154,992.3310277747023,20.0,3,5,total_yards_adj
0.6153846153846154,1052.6879601083547,20.0,3,5,total_yards_adj
0.6153846153846154,1113.0448924420068,20.0,3,5,total_yards_adj
0.6153846153846154,1173.401824775659,20.0,3,5,total_yards_adj
0.6153846153846154,1233.758757109311,20.0,3,5,total_yards_adj
0.6153846153846154,1294.1156894429632,20.0,3,5,total_yards_adj
0.6153846153846154,1354.4726217766154,20.0,3,5,total_yards_adj
0.6153846153846154,1414.8295541102675,20.0,3,5,total_yards_adj
0.6153846153846154,1475.1864864439196,20.0,3,5,total_yards_adj
0.6153846153846154,1535.5434187775718,20.0,3,5,total_yards_adj
0.6153846153846154,1595.900351111224,20.0,3,5,total_yards_adj
0.6153846153846154,1656.257283444876,0.0,3,5,total_yards_adj
0.6153846153846154,1716.6142157785282,0.0,3,5,total_yards_adj
0.6153846153846154,1776.9711481121803,0.0,3,5,total_yards_adj
0.6153846153846154,1837.3280804458325,0.0,3,5,total_yards_adj
0.6153846153846154,1897.6850127794846,0.0,3,5,total_yards_adj
0.6153846153846154,1958.0419451131368,0.0,3,5,total_yards_adj
0.6153846153846154,2018.398877446789,0.0,3,5,total_yards_adj
0.6153846153846154,2078.7558097804413,0.0,3,5,total_yards_adj
0.6153846153846154,2139.112742114093,0.0,3,5,total_yards_adj
0.6153846153846154,2199.4696744477455,0.0,3,5,total_yards_adj
0.6153846153846154,2259.8266067813975,0.0,3,5,total_yards_adj
0.6153846153846154,2320.18353911505,0.0,3,5,total_yards_adj
0.6153846153846154,2380.5404714487017,0.0,3,5,total_yards_adj
0.6153846153846154,2440.897403782354,20.0,3,5,total_yards_adj
0.6153846153846154,2501.254336116006,20.0,3,5,total_yards_adj
0.6153846153846154,2561.6112684496584,20.0,3,5,total_yards_adj
0.6153846153846154,2621.9682007833103,40.0,3,5,total_yards_adj
0.6153846153846154,2682.3251331169627,40.0,3,5,total_yards_adj
