year,Pass_ANY/A_adj,payment_probability,decision_year,k_value,metric_name
0.5128205128205128,-1.8519429897166935,20.0,3,20,Pass_ANY/A_adj
0.5128205128205128,-1.670034758745492,20.0,3,20,Pass_ANY/A_adj
0.5128205128205128,-1.4881265277742908,20.0,3,20,Pass_ANY/A_adj
0.5128205128205128,-1.3062182968030893,20.0,3,20,Pass_ANY/A_adj
0.5128205128205128,-1.1243100658318879,20.0,3,20,Pass_ANY/A_adj
0.5128205128205128,-0.9424018348606866,20.0,3,20,Pass_ANY/A_adj
0.5128205128205128,-0.7604936038894852,20.0,3,20,Pass_ANY/A_adj
0.5128205128205128,-0.5785853729182837,20.0,3,20,Pass_ANY/A_adj
0.5128205128205128,-0.39667714194708226,20.0,3,20,Pass_ANY/A_adj
0.5128205128205128,-0.2147689109758808,20.0,3,20,Pass_ANY/A_adj
0.5128205128205128,-0.032860680004679566,20.0,3,20,Pass_ANY/A_adj
0.5128205128205128,0.14904755096652167,20.0,3,20,Pass_ANY/A_adj
0.5128205128205128,0.33095578193772335,20.0,3,20,Pass_ANY/A_adj
0.5128205128205128,0.5128640129089246,20.0,3,20,Pass_ANY/A_adj
0.5128205128205128,0.6947722438801263,20.0,3,20,Pass_ANY/A_adj
0.5128205128205128,0.8766804748513275,20.0,3,20,Pass_ANY/A_adj
0.5128205128205128,1.0585887058225287,20.0,3,20,Pass_ANY/A_adj
0.5128205128205128,1.2404969367937304,20.0,3,20,Pass_ANY/A_adj
0.5128205128205128,1.4224051677649316,20.0,3,20,Pass_ANY/A_adj
0.5128205128205128,1.6043133987361333,20.0,3,20,Pass_ANY/A_adj
0.5128205128205128,1.7862216297073346,20.0,3,20,Pass_ANY/A_adj
0.5128205128205128,1.9681298606785358,20.0,3,20,Pass_ANY/A_adj
0.5128205128205128,2.150038091649737,20.0,3,20,Pass_ANY/A_adj
0.5128205128205128,2.3319463226209383,20.0,3,20,Pass_ANY/A_adj
0.5128205128205128,2.5138545535921404,20.0,3,20,Pass_ANY/A_adj
0.5128205128205128,2.6957627845633416,20.0,3,20,Pass_ANY/A_adj
0.5128205128205128,2.877671015534543,20.0,3,20,Pass_ANY/A_adj
0.5128205128205128,3.059579246505744,15.0,3,20,Pass_ANY/A_adj
0.5128205128205128,3.2414874774769453,15.0,3,20,Pass_ANY/A_adj
0.5128205128205128,3.4233957084481474,15.0,3,20,Pass_ANY/A_adj
0.5128205128205128,3.6053039394193487,15.0,3,20,Pass_ANY/A_adj
0.5128205128205128,3.78721217039055,25.0,3,20,Pass_ANY/A_adj
0.5128205128205128,3.969120401361751,25.0,3,20,Pass_ANY/A_adj
0.5128205128205128,4.151028632332952,25.0,3,20,Pass_ANY/A_adj
0.5128205128205128,4.3329368633041545,25.0,3,20,Pass_ANY/A_adj
0.5128205128205128,4.514845094275356,20.0,3,20,Pass_ANY/A_adj
0.5128205128205128,4.696753325246557,30.0,3,20,Pass_ANY/A_adj
0.5128205128205128,4.878661556217758,25.0,3,20,Pass_ANY/A_adj
0.5128205128205128,5.0605697871889594,20.0,3,20,Pass_ANY/A_adj
0.5128205128205128,5.242478018160162,25.0,3,20,Pass_ANY/A_adj
0.5128205128205128,5.424386249131363,40.0,3,20,Pass_ANY/A_adj
0.5128205128205128,5.606294480102564,30.0,3,20,Pass_ANY/A_adj
0.5128205128205128,5.788202711073765,50.0,3,20,Pass_ANY/A_adj
0.5128205128205128,5.9701109420449665,60.0,3,20,Pass_ANY/A_adj
0.5128205128205128,6.152019173016168,60.0,3,20,Pass_ANY/A_adj
0.5128205128205128,6.333927403987369,55.00000000000001,3,20,Pass_ANY/A_adj
0.5128205128205128,6.51583563495857,55.00000000000001,3,20,Pass_ANY/A_adj
0.5128205128205128,6.6977438659297714,50.0,3,20,Pass_ANY/A_adj
0.5128205128205128,6.8796520969009745,55.00000000000001,3,20,Pass_ANY/A_adj
0.5128205128205128,7.061560327872176,50.0,3,20,Pass_ANY/A_adj
0.5128205128205128,7.243468558843377,50.0,3,20,Pass_ANY/A_adj
0.5128205128205128,7.425376789814578,50.0,3,20,Pass_ANY/A_adj
0.5128205128205128,7.607285020785779,50.0,3,20,Pass_ANY/A_adj
0.5128205128205128,7.789193251756981,50.0,3,20,Pass_ANY/A_adj
0.5128205128205128,7.971101482728182,55.00000000000001,3,20,Pass_ANY/A_adj
0.5128205128205128,8.153009713699383,55.00000000000001,3,20,Pass_ANY/A_adj
0.5128205128205128,8.334917944670584,55.00000000000001,3,20,Pass_ANY/A_adj
0.5128205128205128,8.516826175641786,55.00000000000001,3,20,Pass_ANY/A_adj
0.5128205128205128,8.698734406612989,55.00000000000001,3,20,Pass_ANY/A_adj
0.5128205128205128,8.88064263758419,55.00000000000001,3,20,Pass_ANY/A_adj
0.5128205128205128,9.062550868555391,55.00000000000001,3,20,Pass_ANY/A_adj
0.5128205128205128,9.244459099526592,55.00000000000001,3,20,Pass_ANY/A_adj
0.5128205128205128,9.426367330497794,55.00000000000001,3,20,Pass_ANY/A_adj
0.5128205128205128,9.608275561468995,55.00000000000001,3,20,Pass_ANY/A_adj
0.5128205128205128,9.790183792440196,55.00000000000001,3,20,Pass_ANY/A_adj
0.5128205128205128,9.972092023411397,55.00000000000001,3,20,Pass_ANY/A_adj
0.5128205128205128,10.154000254382598,55.00000000000001,3,20,Pass_ANY/A_adj
0.5128205128205128,10.3359084853538,55.00000000000001,3,20,Pass_ANY/A_adj
0.5128205128205128,10.517816716325001,55.00000000000001,3,20,Pass_ANY/A_adj
0.5128205128205128,10.699724947296204,60.0,3,20,Pass_ANY/A_adj
0.5128205128205128,10.881633178267405,65.0,3,20,Pass_ANY/A_adj
0.5128205128205128,11.063541409238606,65.0,3,20,Pass_ANY/A_adj
0.5128205128205128,11.245449640209808,65.0,3,20,Pass_ANY/A_adj
0.5128205128205128,11.427357871181009,65.0,3,20,Pass_ANY/A_adj
0.5128205128205128,11.60926610215221,65.0,3,20,Pass_ANY/A_adj
0.5128205128205128,11.791174333123411,65.0,3,20,Pass_ANY/A_adj
0.5128205128205128,11.973082564094613,65.0,3,20,Pass_ANY/A_adj
0.5128205128205128,12.154990795065814,65.0,3,20,Pass_ANY/A_adj
0.5128205128205128,12.336899026037015,65.0,3,20,Pass_ANY/A_adj
0.5128205128205128,12.518807257008218,65.0,3,20,Pass_ANY/A_adj
0.5128205128205128,12.70071548797942,70.0,3,20,Pass_ANY/A_adj
0.5128205128205128,12.88262371895062,70.0,3,20,Pass_ANY/A_adj
0.5128205128205128,13.064531949921822,70.0,3,20,Pass_ANY/A_adj
0.5128205128205128,13.246440180893023,65.0,3,20,Pass_ANY/A_adj
0.5128205128205128,13.428348411864224,65.0,3,20,Pass_ANY/A_adj
0.5128205128205128,13.610256642835425,65.0,3,20,Pass_ANY/A_adj
0.5128205128205128,13.792164873806627,65.0,3,20,Pass_ANY/A_adj
0.5128205128205128,13.974073104777828,65.0,3,20,Pass_ANY/A_adj
0.5128205128205128,14.155981335749031,65.0,3,20,Pass_ANY/A_adj
0.5128205128205128,14.33788956672023,65.0,3,20,Pass_ANY/A_adj
0.5128205128205128,14.519797797691433,65.0,3,20,Pass_ANY/A_adj
0.5128205128205128,14.701706028662633,65.0,3,20,Pass_ANY/A_adj
0.5128205128205128,14.883614259633836,65.0,3,20,Pass_ANY/A_adj
0.5128205128205128,15.065522490605035,65.0,3,20,Pass_ANY/A_adj
0.5128205128205128,15.247430721576238,65.0,3,20,Pass_ANY/A_adj
0.5128205128205128,15.429338952547438,65.0,3,20,Pass_ANY/A_adj
0.5128205128205128,15.61124718351864,65.0,3,20,Pass_ANY/A_adj
0.5128205128205128,15.793155414489844,65.0,3,20,Pass_ANY/A_adj
0.5128205128205128,15.975063645461043,65.0,3,20,Pass_ANY/A_adj
0.5641025641025641,-2.033851220687895,20.0,3,20,Pass_ANY/A_adj
0.5641025641025641,-1.8519429897166935,20.0,3,20,Pass_ANY/A_adj
0.5641025641025641,-1.670034758745492,20.0,3,20,Pass_ANY/A_adj
0.5641025641025641,-1.4881265277742908,20.0,3,20,Pass_ANY/A_adj
0.5641025641025641,-1.3062182968030893,20.0,3,20,Pass_ANY/A_adj
0.5641025641025641,-1.1243100658318879,20.0,3,20,Pass_ANY/A_adj
0.5641025641025641,-0.9424018348606866,20.0,3,20,Pass_ANY/A_adj
0.5641025641025641,-0.7604936038894852,20.0,3,20,Pass_ANY/A_adj
0.5641025641025641,-0.5785853729182837,20.0,3,20,Pass_ANY/A_adj
0.5641025641025641,-0.39667714194708226,20.0,3,20,Pass_ANY/A_adj
0.5641025641025641,-0.2147689109758808,20.0,3,20,Pass_ANY/A_adj
0.5641025641025641,-0.032860680004679566,20.0,3,20,Pass_ANY/A_adj
0.5641025641025641,0.14904755096652167,20.0,3,20,Pass_ANY/A_adj
0.5641025641025641,0.33095578193772335,20.0,3,20,Pass_ANY/A_adj
0.5641025641025641,0.5128640129089246,20.0,3,20,Pass_ANY/A_adj
0.5641025641025641,0.6947722438801263,20.0,3,20,Pass_ANY/A_adj
0.5641025641025641,0.8766804748513275,20.0,3,20,Pass_ANY/A_adj
0.5641025641025641,1.0585887058225287,20.0,3,20,Pass_ANY/A_adj
0.5641025641025641,1.2404969367937304,20.0,3,20,Pass_ANY/A_adj
0.5641025641025641,1.4224051677649316,20.0,3,20,Pass_ANY/A_adj
0.5641025641025641,1.6043133987361333,20.0,3,20,Pass_ANY/A_adj
0.5641025641025641,1.7862216297073346,20.0,3,20,Pass_ANY/A_adj
0.5641025641025641,1.9681298606785358,15.0,3,20,Pass_ANY/A_adj
0.5641025641025641,2.150038091649737,15.0,3,20,Pass_ANY/A_adj
0.5641025641025641,2.3319463226209383,15.0,3,20,Pass_ANY/A_adj
0.5641025641025641,2.5138545535921404,15.0,3,20,Pass_ANY/A_adj
0.5641025641025641,2.6957627845633416,15.0,3,20,Pass_ANY/A_adj
0.5641025641025641,2.877671015534543,15.0,3,20,Pass_ANY/A_adj
0.5641025641025641,3.059579246505744,15.0,3,20,Pass_ANY/A_adj
0.5641025641025641,3.2414874774769453,15.0,3,20,Pass_ANY/A_adj
0.5641025641025641,3.4233957084481474,20.0,3,20,Pass_ANY/A_adj
0.5641025641025641,3.6053039394193487,20.0,3,20,Pass_ANY/A_adj
0.5641025641025641,3.78721217039055,20.0,3,20,Pass_ANY/A_adj
0.5641025641025641,3.969120401361751,20.0,3,20,Pass_ANY/A_adj
0.5641025641025641,4.151028632332952,25.0,3,20,Pass_ANY/A_adj
0.5641025641025641,4.3329368633041545,25.0,3,20,Pass_ANY/A_adj
0.5641025641025641,4.514845094275356,25.0,3,20,Pass_ANY/A_adj
0.5641025641025641,4.696753325246557,25.0,3,20,Pass_ANY/A_adj
0.5641025641025641,4.878661556217758,25.0,3,20,Pass_ANY/A_adj
0.5641025641025641,5.0605697871889594,25.0,3,20,Pass_ANY/A_adj
0.5641025641025641,5.242478018160162,30.0,3,20,Pass_ANY/A_adj
0.5641025641025641,5.424386249131363,35.0,3,20,Pass_ANY/A_adj
0.5641025641025641,5.606294480102564,35.0,3,20,Pass_ANY/A_adj
0.5641025641025641,5.788202711073765,45.0,3,20,Pass_ANY/A_adj
0.5641025641025641,5.9701109420449665,50.0,3,20,Pass_ANY/A_adj
0.5641025641025641,6.152019173016168,50.0,3,20,Pass_ANY/A_adj
0.5641025641025641,6.333927403987369,60.0,3,20,Pass_ANY/A_adj
0.5641025641025641,6.51583563495857,55.00000000000001,3,20,Pass_ANY/A_adj
0.5641025641025641,6.6977438659297714,50.0,3,20,Pass_ANY/A_adj
0.5641025641025641,6.8796520969009745,50.0,3,20,Pass_ANY/A_adj
0.5641025641025641,7.061560327872176,55.00000000000001,3,20,Pass_ANY/A_adj
0.5641025641025641,7.243468558843377,50.0,3,20,Pass_ANY/A_adj
0.5641025641025641,7.425376789814578,55.00000000000001,3,20,Pass_ANY/A_adj
0.5641025641025641,7.607285020785779,50.0,3,20,Pass_ANY/A_adj
0.5641025641025641,7.789193251756981,55.00000000000001,3,20,Pass_ANY/A_adj
0.5641025641025641,7.971101482728182,55.00000000000001,3,20,Pass_ANY/A_adj
0.5641025641025641,8.153009713699383,55.00000000000001,3,20,Pass_ANY/A_adj
0.5641025641025641,8.334917944670584,55.00000000000001,3,20,Pass_ANY/A_adj
0.5641025641025641,8.516826175641786,55.00000000000001,3,20,Pass_ANY/A_adj
0.5641025641025641,8.698734406612989,55.00000000000001,3,20,Pass_ANY/A_adj
0.5641025641025641,8.88064263758419,55.00000000000001,3,20,Pass_ANY/A_adj
0.5641025641025641,9.062550868555391,55.00000000000001,3,20,Pass_ANY/A_adj
0.5641025641025641,9.244459099526592,55.00000000000001,3,20,Pass_ANY/A_adj
0.5641025641025641,9.426367330497794,55.00000000000001,3,20,Pass_ANY/A_adj
0.5641025641025641,9.608275561468995,55.00000000000001,3,20,Pass_ANY/A_adj
0.5641025641025641,9.790183792440196,55.00000000000001,3,20,Pass_ANY/A_adj
0.5641025641025641,9.972092023411397,60.0,3,20,Pass_ANY/A_adj
0.5641025641025641,10.154000254382598,60.0,3,20,Pass_ANY/A_adj
0.5641025641025641,10.3359084853538,60.0,3,20,Pass_ANY/A_adj
0.5641025641025641,10.517816716325001,60.0,3,20,Pass_ANY/A_adj
0.5641025641025641,10.699724947296204,60.0,3,20,Pass_ANY/A_adj
0.5641025641025641,10.881633178267405,65.0,3,20,Pass_ANY/A_adj
0.5641025641025641,11.063541409238606,65.0,3,20,Pass_ANY/A_adj
0.5641025641025641,11.245449640209808,65.0,3,20,Pass_ANY/A_adj
0.5641025641025641,11.427357871181009,65.0,3,20,Pass_ANY/A_adj
0.5641025641025641,11.60926610215221,65.0,3,20,Pass_ANY/A_adj
0.5641025641025641,11.791174333123411,65.0,3,20,Pass_ANY/A_adj
0.5641025641025641,11.973082564094613,65.0,3,20,Pass_ANY/A_adj
0.5641025641025641,12.154990795065814,70.0,3,20,Pass_ANY/A_adj
0.5641025641025641,12.336899026037015,70.0,3,20,Pass_ANY/A_adj
0.5641025641025641,12.518807257008218,70.0,3,20,Pass_ANY/A_adj
0.5641025641025641,12.70071548797942,70.0,3,20,Pass_ANY/A_adj
0.5641025641025641,12.88262371895062,70.0,3,20,Pass_ANY/A_adj
0.5641025641025641,13.064531949921822,65.0,3,20,Pass_ANY/A_adj
0.5641025641025641,13.246440180893023,65.0,3,20,Pass_ANY/A_adj
0.5641025641025641,13.428348411864224,65.0,3,20,Pass_ANY/A_adj
0.5641025641025641,13.610256642835425,65.0,3,20,Pass_ANY/A_adj
0.5641025641025641,13.792164873806627,65.0,3,20,Pass_ANY/A_adj
0.5641025641025641,13.974073104777828,65.0,3,20,Pass_ANY/A_adj
0.5641025641025641,14.155981335749031,65.0,3,20,Pass_ANY/A_adj
0.5641025641025641,14.33788956672023,65.0,3,20,Pass_ANY/A_adj
0.5641025641025641,14.519797797691433,65.0,3,20,Pass_ANY/A_adj
0.5641025641025641,14.701706028662633,65.0,3,20,Pass_ANY/A_adj
0.5641025641025641,14.883614259633836,65.0,3,20,Pass_ANY/A_adj
0.5641025641025641,15.065522490605035,65.0,3,20,Pass_ANY/A_adj
0.5641025641025641,15.247430721576238,65.0,3,20,Pass_ANY/A_adj
0.5641025641025641,15.429338952547438,65.0,3,20,Pass_ANY/A_adj
0.5641025641025641,15.61124718351864,65.0,3,20,Pass_ANY/A_adj
0.5641025641025641,15.793155414489844,65.0,3,20,Pass_ANY/A_adj
0.5641025641025641,15.975063645461043,65.0,3,20,Pass_ANY/A_adj
0.6153846153846154,-2.033851220687895,20.0,3,20,Pass_ANY/A_adj
0.6153846153846154,-1.8519429897166935,20.0,3,20,Pass_ANY/A_adj
0.6153846153846154,-1.670034758745492,20.0,3,20,Pass_ANY/A_adj
0.6153846153846154,-1.4881265277742908,20.0,3,20,Pass_ANY/A_adj
0.6153846153846154,-1.3062182968030893,20.0,3,20,Pass_ANY/A_adj
0.6153846153846154,-1.1243100658318879,20.0,3,20,Pass_ANY/A_adj
0.6153846153846154,-0.9424018348606866,20.0,3,20,Pass_ANY/A_adj
0.6153846153846154,-0.7604936038894852,20.0,3,20,Pass_ANY/A_adj
0.6153846153846154,-0.5785853729182837,20.0,3,20,Pass_ANY/A_adj
0.6153846153846154,-0.39667714194708226,20.0,3,20,Pass_ANY/A_adj
0.6153846153846154,-0.2147689109758808,20.0,3,20,Pass_ANY/A_adj
0.6153846153846154,-0.032860680004679566,20.0,3,20,Pass_ANY/A_adj
0.6153846153846154,0.14904755096652167,20.0,3,20,Pass_ANY/A_adj
0.6153846153846154,0.33095578193772335,20.0,3,20,Pass_ANY/A_adj
0.6153846153846154,0.5128640129089246,20.0,3,20,Pass_ANY/A_adj
0.6153846153846154,0.6947722438801263,20.0,3,20,Pass_ANY/A_adj
0.6153846153846154,0.8766804748513275,20.0,3,20,Pass_ANY/A_adj
0.6153846153846154,1.0585887058225287,20.0,3,20,Pass_ANY/A_adj
0.6153846153846154,1.2404969367937304,20.0,3,20,Pass_ANY/A_adj
0.6153846153846154,1.4224051677649316,20.0,3,20,Pass_ANY/A_adj
0.6153846153846154,1.6043133987361333,20.0,3,20,Pass_ANY/A_adj
0.6153846153846154,1.7862216297073346,20.0,3,20,Pass_ANY/A_adj
0.6153846153846154,1.9681298606785358,15.0,3,20,Pass_ANY/A_adj
0.6153846153846154,2.150038091649737,15.0,3,20,Pass_ANY/A_adj
0.6153846153846154,2.3319463226209383,15.0,3,20,Pass_ANY/A_adj
0.6153846153846154,2.5138545535921404,15.0,3,20,Pass_ANY/A_adj
0.6153846153846154,2.6957627845633416,15.0,3,20,Pass_ANY/A_adj
0.6153846153846154,2.877671015534543,20.0,3,20,Pass_ANY/A_adj
0.6153846153846154,3.059579246505744,20.0,3,20,Pass_ANY/A_adj
0.6153846153846154,3.2414874774769453,15.0,3,20,Pass_ANY/A_adj
0.6153846153846154,3.4233957084481474,15.0,3,20,Pass_ANY/A_adj
0.6153846153846154,3.6053039394193487,20.0,3,20,Pass_ANY/A_adj
0.6153846153846154,3.78721217039055,20.0,3,20,Pass_ANY/A_adj
0.6153846153846154,3.969120401361751,25.0,3,20,Pass_ANY/A_adj
0.6153846153846154,4.151028632332952,30.0,3,20,Pass_ANY/A_adj
0.6153846153846154,4.3329368633041545,25.0,3,20,Pass_ANY/A_adj
0.6153846153846154,4.514845094275356,25.0,3,20,Pass_ANY/A_adj
0.6153846153846154,4.696753325246557,25.0,3,20,Pass_ANY/A_adj
0.6153846153846154,4.878661556217758,25.0,3,20,Pass_ANY/A_adj
0.6153846153846154,5.0605697871889594,25.0,3,20,Pass_ANY/A_adj
0.6153846153846154,5.242478018160162,30.0,3,20,Pass_ANY/A_adj
0.6153846153846154,5.424386249131363,35.0,3,20,Pass_ANY/A_adj
0.6153846153846154,5.606294480102564,35.0,3,20,Pass_ANY/A_adj
0.6153846153846154,5.788202711073765,45.0,3,20,Pass_ANY/A_adj
0.6153846153846154,5.9701109420449665,50.0,3,20,Pass_ANY/A_adj
0.6153846153846154,6.152019173016168,50.0,3,20,Pass_ANY/A_adj
0.6153846153846154,6.333927403987369,60.0,3,20,Pass_ANY/A_adj
0.6153846153846154,6.51583563495857,60.0,3,20,Pass_ANY/A_adj
0.6153846153846154,6.6977438659297714,55.00000000000001,3,20,Pass_ANY/A_adj
0.6153846153846154,6.8796520969009745,55.00000000000001,3,20,Pass_ANY/A_adj
0.6153846153846154,7.061560327872176,55.00000000000001,3,20,Pass_ANY/A_adj
0.6153846153846154,7.243468558843377,70.0,3,20,Pass_ANY/A_adj
0.6153846153846154,7.425376789814578,55.00000000000001,3,20,Pass_ANY/A_adj
0.6153846153846154,7.607285020785779,55.00000000000001,3,20,Pass_ANY/A_adj
0.6153846153846154,7.789193251756981,55.00000000000001,3,20,Pass_ANY/A_adj
0.6153846153846154,7.971101482728182,55.00000000000001,3,20,Pass_ANY/A_adj
0.6153846153846154,8.153009713699383,50.0,3,20,Pass_ANY/A_adj
0.6153846153846154,8.334917944670584,55.00000000000001,3,20,Pass_ANY/A_adj
0.6153846153846154,8.516826175641786,55.00000000000001,3,20,Pass_ANY/A_adj
0.6153846153846154,8.698734406612989,55.00000000000001,3,20,Pass_ANY/A_adj
0.6153846153846154,8.88064263758419,55.00000000000001,3,20,Pass_ANY/A_adj
0.6153846153846154,9.062550868555391,55.00000000000001,3,20,Pass_ANY/A_adj
0.6153846153846154,9.244459099526592,55.00000000000001,3,20,Pass_ANY/A_adj
0.6153846153846154,9.426367330497794,55.00000000000001,3,20,Pass_ANY/A_adj
0.6153846153846154,9.608275561468995,55.00000000000001,3,20,Pass_ANY/A_adj
0.6153846153846154,9.790183792440196,60.0,3,20,Pass_ANY/A_adj
0.6153846153846154,9.972092023411397,60.0,3,20,Pass_ANY/A_adj
0.6153846153846154,10.154000254382598,60.0,3,20,Pass_ANY/A_adj
0.6153846153846154,10.3359084853538,65.0,3,20,Pass_ANY/A_adj
0.6153846153846154,10.517816716325001,65.0,3,20,Pass_ANY/A_adj
0.6153846153846154,10.699724947296204,65.0,3,20,Pass_ANY/A_adj
0.6153846153846154,10.881633178267405,70.0,3,20,Pass_ANY/A_adj
0.6153846153846154,11.063541409238606,70.0,3,20,Pass_ANY/A_adj
0.6153846153846154,11.245449640209808,70.0,3,20,Pass_ANY/A_adj
0.6153846153846154,11.427357871181009,70.0,3,20,Pass_ANY/A_adj
0.6153846153846154,11.60926610215221,70.0,3,20,Pass_ANY/A_adj
0.6153846153846154,11.791174333123411,70.0,3,20,Pass_ANY/A_adj
0.6153846153846154,11.973082564094613,70.0,3,20,Pass_ANY/A_adj
0.6153846153846154,12.154990795065814,70.0,3,20,Pass_ANY/A_adj
0.6153846153846154,12.336899026037015,70.0,3,20,Pass_ANY/A_adj
0.6153846153846154,12.518807257008218,70.0,3,20,Pass_ANY/A_adj
0.6153846153846154,12.70071548797942,65.0,3,20,Pass_ANY/A_adj
0.6153846153846154,12.88262371895062,65.0,3,20,Pass_ANY/A_adj
0.6153846153846154,13.064531949921822,65.0,3,20,Pass_ANY/A_adj
0.6153846153846154,13.246440180893023,65.0,3,20,Pass_ANY/A_adj
0.6153846153846154,13.428348411864224,65.0,3,20,Pass_ANY/A_adj
0.6153846153846154,13.610256642835425,65.0,3,20,Pass_ANY/A_adj
0.6153846153846154,13.792164873806627,65.0,3,20,Pass_ANY/A_adj
