Player,Team,Year,Years,,Value,APY,Guaranteed,,APY as % Of,,Inflated,Inflated,Inflated
,,Signed,,,,,,,Cap At Signing,,Value,APY,Guaranteed
Spencer Rattler,Saints,2024,4,,"$4,356,480 ","$1,089,120 ","$336,480 ",,0.40%,,"$4,762,448 ","$1,190,612 ","$367,836 "
Tommy Stevens,Saints,2020,4,,"$3,375,592 ","$843,898 ","$80,592 ",,0.40%,,"$4,755,123 ","$1,188,781 ","$113,528 "
Nate Stanley,Vikings,2020,4,,"$3,372,548 ","$843,137 ","$77,548 ",,0.40%,,"$4,750,835 ","$1,187,709 ","$109,240 "
Zac Dysert,Broncos,2013,4,,"$2,208,200 ","$522,050 ","$48,200 ",,0.40%,,"$5,012,434 ","$1,185,011 ","$109,410 "
Ben DiNucci,Cowboys,2022,2,,"$1,765,000 ","$882,500 ",$0 ,,0.40%,,"$2,366,897 ","$1,183,449 ",$0 
Garrett Gilbert,Cowboys,2020,2,,"$1,670,000 ","$835,000 ",$0 ,,0.40%,,"$2,352,492 ","$1,176,246 ",$0 
Matt Cassel,Patriots,2005,4,,"$1,439,000 ","$359,750 ","$54,000 ",,0.40%,,"$4,699,050 ","$1,174,763 ","$176,337 "
Jarrett Stidham,NE/LV,2019,4,,"$3,156,112 ","$789,028 ","$636,112 ",,0.40%,,"$4,682,181 ","$1,170,545 ","$943,690 "
Logan Woodside,Steelers,2025,1,,"$1,170,000 ","$1,170,000 ",$0 ,,0.40%,,"$1,170,000 ","$1,170,000 ",$0 
John Wolford,Jaguars,2025,1,,"$1,170,000 ","$1,170,000 ",$0 ,,0.40%,,"$1,170,000 ","$1,170,000 ",$0 
Tyler Huntley,Browns,2025,1,,"$1,170,000 ","$1,170,000 ",$0 ,,0.40%,,"$1,170,000 ","$1,170,000 ",$0 
Sam Ehlinger,Broncos,2025,1,,"$1,170,000 ","$1,170,000 ",$0 ,,0.40%,,"$1,170,000 ","$1,170,000 ",$0 
Will Grier,Cowboys,2025,1,,"$1,170,000 ","$1,170,000 ",$0 ,,0.40%,,"$1,170,000 ","$1,170,000 ",$0 
Logan Woodside,Bengals,2025,1,,"$1,170,000 ","$1,170,000 ",$0 ,,0.40%,,"$1,170,000 ","$1,170,000 ",$0 
Gardner Minshew,Chiefs,2025,1,,"$1,170,000 ","$1,170,000 ",$0 ,,0.40%,,"$1,170,000 ","$1,170,000 ",$0 
Jordan Travis,Jets,2024,4,,"$4,274,276 ","$1,068,569 ","$254,276 ",,0.40%,,"$4,672,584 ","$1,168,146 ","$277,971 "
Shane Buechele,Chiefs,2023,1,,"$940,000 ","$940,000 ",$0 ,,0.40%,,"$1,167,473 ","$1,167,473 ",$0 
Jacob Eason,NYG/CAR,2023,1,,"$940,000 ","$940,000 ",$0 ,,0.40%,,"$1,167,473 ","$1,167,473 ",$0 
Jake Fromm,Commanders,2023,1,,"$940,000 ","$940,000 ",$0 ,,0.40%,,"$1,167,473 ","$1,167,473 ",$0 
Brandon Allen,Bengals,2020,1,,"$825,000 ","$825,000 ",$0 ,,0.40%,,"$1,162,159 ","$1,162,159 ",$0 
Shedeur Sanders,Browns,2025,4,,"$4,647,380 ","$1,161,845 ","$447,380 ",,0.40%,,"$4,647,380 ","$1,161,845 ","$447,380 "
Cody Kessler,Patriots,2019,2,,"$1,565,000 ","$782,500 ",$0 ,,0.40%,,"$2,321,722 ","$1,160,861 ",$0 
B.J. Daniels,Giants,2016,2,,"$1,290,000 ","$645,000 ",$0 ,,0.40%,,"$2,319,624 ","$1,159,812 ",$0 
EJ Perry,Jaguars,2022,3,,"$2,583,000 ","$861,000 ","$230,000 ",,0.40%,,"$3,463,850 ","$1,154,617 ","$308,434 "
David Fales,Dolphins,2017,1,,"$690,000 ","$690,000 ",$0 ,,0.40%,,"$1,153,581 ","$1,153,581 ",$0 
Anthony Brown,Ravens,2022,3,,"$2,580,000 ","$860,000 ","$70,000 ",,0.40%,,"$3,459,827 ","$1,153,276 ","$93,871 "
Carson Strong,Eagles,2022,3,,"$2,580,000 ","$860,000 ","$320,000 ",,0.40%,,"$3,459,827 ","$1,153,276 ","$429,126 "
Chase Garbers,Raiders,2022,3,,"$2,575,000 ","$858,333 ","$100,000 ",,0.40%,,"$3,453,122 ","$1,151,040 ","$134,102 "
Levi Lewis,Seahawks,2022,3,,"$2,575,000 ","$858,333 ","$15,000 ",,0.40%,,"$3,453,122 ","$1,151,040 ","$20,115 "
Joe Milton III,DAL/NE,2024,4,,"$4,203,316 ","$1,050,829 ","$183,316 ",,0.40%,,"$4,595,011 ","$1,148,753 ","$200,399 "
Davis Cheek,Panthers,2022,3,,"$2,567,500 ","$855,833 ","$7,500 ",,0.40%,,"$3,443,064 ","$1,147,688 ","$10,058 "
Brandon Peters,Chargers,2022,3,,"$2,567,000 ","$855,667 ","$7,000 ",,0.40%,,"$3,442,394 ","$1,147,465 ","$9,387 "
Jack Coan,Colts,2022,3,,"$2,565,000 ","$855,000 ","$60,000 ",,0.40%,,"$3,439,712 ","$1,146,571 ","$80,461 "
Cole Kelley,Commanders,2022,3,,"$2,565,000 ","$855,000 ","$5,000 ",,0.40%,,"$3,439,712 ","$1,146,571 ","$6,705 "
Jarrett Guarantano,Cardinals,2022,3,,"$2,560,000 ","$853,333 ",$0 ,,0.40%,,"$3,433,007 ","$1,144,335 ",$0 
Anthony Brown,Ravens,2022,3,,"$2,560,000 ","$853,333 ",$0 ,,0.40%,,"$3,433,007 ","$1,144,335 ",$0 
Dustin Crum,Chiefs,2022,3,,"$2,560,000 ","$853,333 ",$0 ,,0.40%,,"$3,433,007 ","$1,144,335 ",$0 
Drew Plitt,Bengals,2022,3,,"$2,560,000 ","$853,333 ",$0 ,,0.40%,,"$3,433,007 ","$1,144,335 ",$0 
Ryan Willis,Bears,2022,3,,"$2,560,000 ","$853,333 ",$0 ,,0.40%,,"$3,433,007 ","$1,144,335 ",$0 
Felix Harper,Browns,2022,3,,"$2,560,000 ","$853,333 ",$0 ,,0.40%,,"$3,433,007 ","$1,144,335 ",$0 
Michael Pratt,Buccaneers,2025,2,,"$2,285,000 ","$1,142,500 ","$250,000 ",,0.40%,,"$2,285,000 ","$1,142,500 ","$250,000 "
Cody Kessler,Patriots,2019,2,,"$1,540,000 ","$770,000 ",$0 ,,0.40%,,"$2,284,633 ","$1,142,317 ",$0 
Clayton Thorson,Giants,2021,2,,"$1,491,000 ","$745,500 ","$6,000 ",,0.40%,,"$2,281,026 ","$1,140,513 ","$9,179 "
Case Keenum,Texans,2015,1,,"$585,000 ","$585,000 ",$0 ,,0.40%,,"$1,139,950 ","$1,139,950 ",$0 
Pat Devlin,Browns,2015,1,,"$585,000 ","$585,000 ",$0 ,,0.40%,,"$1,139,950 ","$1,139,950 ",$0 
Case Keenum,Rams,2015,1,,"$585,000 ","$585,000 ",$0 ,,0.40%,,"$1,139,950 ","$1,139,950 ",$0 
Devin Leary,Ravens,2024,4,,"$4,158,388 ","$1,039,597 ","$138,388 ",,0.40%,,"$4,545,896 ","$1,136,474 ","$151,284 "
Trevor Siemian,DEN/MIN,2015,4,,"$2,332,784 ","$583,196 ","$52,784 ",,0.40%,,"$4,545,738 ","$1,136,434 ","$102,857 "
Nate Stanley,Vikings,2021,2,,"$1,485,000 ","$742,500 ",$0 ,,0.40%,,"$2,271,847 ","$1,135,923 ",$0 
Shane Buechele,Chiefs,2021,2,,"$1,485,000 ","$742,500 ",$0 ,,0.40%,,"$2,271,847 ","$1,135,923 ",$0 
Case Cookus,Broncos,2021,2,,"$1,485,000 ","$742,500 ",$0 ,,0.40%,,"$2,271,847 ","$1,135,923 ",$0 
Bryce Perkins,Rams,2021,2,,"$1,485,000 ","$742,500 ",$0 ,,0.40%,,"$2,271,847 ","$1,135,923 ",$0 
Jake Browning,Vikings,2021,2,,"$1,485,000 ","$742,500 ",$0 ,,0.40%,,"$2,271,847 ","$1,135,923 ",$0 
Reid Sinnett,MIA/PHI,2021,2,,"$1,485,000 ","$742,500 ",$0 ,,0.40%,,"$2,271,847 ","$1,135,923 ",$0 
B.J. Daniels,Seahawks,2014,2,,"$1,080,000 ","$540,000 ",$0 ,,0.40%,,"$2,267,188 ","$1,133,594 ",$0 
Chandler Harnish,MIN/IND,2014,2,,"$1,080,000 ","$540,000 ",$0 ,,0.40%,,"$2,267,188 ","$1,133,594 ",$0 
Josh Johnson,Buccaneers,2008,4,,"$1,877,500 ","$469,375 ","$172,500 ",,0.40%,,"$4,518,948 ","$1,129,737 ","$415,190 "
Malik Cunningham,Patriots,2023,3,,"$2,725,000 ","$908,333 ","$200,000 ",,0.40%,,"$3,384,431 ","$1,128,143 ","$248,399 "
Tyson Bagent,Bears,2023,3,,"$2,720,000 ","$906,667 ","$25,000 ",,0.40%,,"$3,378,221 ","$1,126,074 ","$31,050 "
Tanner Morgan,Steelers,2023,3,,"$2,720,000 ","$906,667 ","$25,000 ",,0.40%,,"$3,378,221 ","$1,126,074 ","$31,050 "
Tyler Wilson,Titans,2013,3,,"$1,485,000 ","$495,000 ",$0 ,,0.40%,,"$3,370,829 ","$1,123,610 ",$0 
Matt McGloin,Raiders,2013,3,,"$1,485,000 ","$495,000 ",$0 ,,0.40%,,"$3,370,829 ","$1,123,610 ",$0 
Michael Pratt,Packers,2024,4,,"$4,106,940 ","$1,026,735 ","$86,940 ",,0.40%,,"$4,489,654 ","$1,122,414 ","$95,042 "
Shane Buechele,Bills,2024,1,,"$1,025,000 ","$1,025,000 ","$40,000 ",,0.40%,,"$1,120,517 ","$1,120,517 ","$43,727 "
Case Keenum,Texans,2012,3,,"$1,452,000 ","$484,000 ","$12,000 ",,0.40%,,"$3,361,512 ","$1,120,504 ","$27,781 "
Tommy DeVito,Giants,2023,3,,"$2,705,000 ","$901,667 ","$20,000 ",,0.40%,,"$3,359,591 ","$1,119,864 ","$24,840 "
Adrian Martinez,Lions,2023,3,,"$2,705,000 ","$901,667 ","$60,000 ",,0.40%,,"$3,359,591 ","$1,119,864 ","$74,520 "
Nolan Henderson,Ravens,2023,3,,"$2,701,000 ","$900,333 ","$6,000 ",,0.40%,,"$3,354,623 ","$1,118,207 ","$7,452 "
Nathan Rourke,Jaguars,2023,3,,"$2,700,000 ","$900,000 ","$221,000 ",,0.40%,,"$3,353,381 ","$1,117,794 ","$274,480 "
Tim DeMorat,Commanders,2023,3,,"$2,697,500 ","$899,167 ","$2,500 ",,0.40%,,"$3,350,276 ","$1,116,759 ","$3,105 "
James Blackman,Dolphins,2023,3,,"$2,697,000 ","$899,000 ","$12,000 ",,0.40%,,"$3,349,655 ","$1,116,552 ","$14,904 "
Holton Ahlers,Seahawks,2023,3,,"$2,696,000 ","$898,667 ","$1,000 ",,0.40%,,"$3,348,413 ","$1,116,138 ","$1,242 "
Malik Cunningham,Ravens,2023,3,,"$2,695,000 ","$898,333 ",$0 ,,0.40%,,"$3,347,171 ","$1,115,723 ",$0 
Austin Aune,Falcons,2023,3,,"$2,695,000 ","$898,333 ",$0 ,,0.40%,,"$3,347,171 ","$1,115,723 ",$0 
Malik Cunningham,Patriots,2023,3,,"$2,695,000 ","$898,333 ",$0 ,,0.40%,,"$3,347,171 ","$1,115,723 ",$0 
Dresser Winn,Rams,2023,3,,"$2,695,000 ","$898,333 ",$0 ,,0.40%,,"$3,347,171 ","$1,115,723 ",$0 
Braxton Burmeister,Rams,2023,3,,"$2,695,000 ","$898,333 ",$0 ,,0.40%,,"$3,347,171 ","$1,115,723 ",$0 
Kyle McCord,Eagles,2025,4,,"$4,461,232 ","$1,115,308 ","$261,232 ",,0.40%,,"$4,461,232 ","$1,115,308 ","$261,232 "
Austin Davis,Rams,2012,3,,"$1,445,000 ","$481,667 ","$17,500 ",,0.40%,,"$3,345,307 ","$1,115,103 ","$40,514 "
Nate Sudfeld,Commanders,2016,4,,"$2,477,336 ","$619,334 ","$137,336 ",,0.40%,,"$4,454,642 ","$1,113,660 ","$246,952 "
Will Howard,Steelers,2025,4,,"$4,448,100 ","$1,112,025 ","$248,100 ",,0.40%,,"$4,448,100 ","$1,112,025 ","$248,100 "
Tom Savage,SF/CIN,2018,1,,"$705,000 ","$705,000 ",$0 ,,0.40%,,"$1,110,813 ","$1,110,813 ",$0 
Tyler Bray,Bears,2018,1,,"$705,000 ","$705,000 ",$0 ,,0.40%,,"$1,110,813 ","$1,110,813 ",$0 
Riley Leonard,Colts,2025,4,,"$4,435,244 ","$1,108,811 ","$235,244 ",,0.40%,,"$4,435,244 ","$1,108,811 ","$235,244 "
Brandon Allen,LAR/JAX,2016,4,,"$2,464,272 ","$616,068 ","$124,272 ",,0.40%,,"$4,431,151 ","$1,107,788 ","$223,461 "
Graham Mertz,Texans,2025,4,,"$4,428,484 ","$1,107,121 ","$228,484 ",,0.40%,,"$4,428,484 ","$1,107,121 ","$228,484 "
James Morgan,Colts,2022,1,,"$825,000 ","$825,000 ",$0 ,,0.40%,,"$1,106,340 ","$1,106,340 ",$0 
Steven Montez,Lions,2022,1,,"$825,000 ","$825,000 ",$0 ,,0.40%,,"$1,106,340 ","$1,106,340 ",$0 
Taylor Heinicke,CAR/HOU,2017,2,,"$1,320,000 ","$660,000 ",$0 ,,0.40%,,"$2,206,850 ","$1,103,425 ",$0 
Matt Simms,Falcons,2017,2,,"$1,320,000 ","$660,000 ",$0 ,,0.40%,,"$2,206,850 ","$1,103,425 ",$0 
Nathan Peterman,Bills,2017,4,,"$2,639,508 ","$659,877 ","$239,508 ",,0.40%,,"$4,412,878 ","$1,103,220 ","$400,423 "
Jeff Driskel,Bengals,2016,4,,"$2,452,540 ","$613,135 ","$112,540 ",,0.40%,,"$4,410,055 ","$1,102,514 ","$202,365 "
Phillip Walker,Panthers,2020,2,,"$1,565,000 ","$782,500 ","$150,000 ",,0.40%,,"$2,204,581 ","$1,102,291 ","$211,302 "
Ian Book,Eagles,2024,2,,"$2,015,000 ","$1,007,500 ",$0 ,,0.40%,,"$2,202,772 ","$1,101,386 ",$0 
Bailey Zappe,Chiefs,2025,1,,"$1,100,000 ","$1,100,000 ","$396,000 ",,0.40%,,"$1,100,000 ","$1,100,000 ","$396,000 "
Skylar Thompson,Steelers,2025,1,,"$1,100,000 ","$1,100,000 ",$0 ,,0.40%,,"$1,100,000 ","$1,100,000 ",$0 
Desmond Ridder,Bengals,2025,1,,"$1,100,000 ","$1,100,000 ",$0 ,,0.40%,,"$1,100,000 ","$1,100,000 ",$0 
Joe Webb,Vikings,2010,4,,"$2,032,515 ","$508,129 ",$0 ,,0.40%,,"$4,399,056 ","$1,099,764 ",$0 
Cam Miller,Raiders,2025,4,,"$4,374,280 ","$1,093,570 ","$174,280 ",,0.40%,,"$4,374,280 ","$1,093,570 ","$174,280 "
Tommy Mellott,Raiders,2025,4,,"$4,374,280 ","$1,093,570 ","$174,280 ",,0.40%,,"$4,374,280 ","$1,093,570 ","$174,280 "
Nathan Enderle,Chargers,2013,1,,"$480,000 ","$480,000 ",$0 ,,0.40%,,"$1,089,561 ","$1,089,561 ",$0 
Austin Davis,Rams,2013,1,,"$480,000 ","$480,000 ",$0 ,,0.40%,,"$1,089,561 ","$1,089,561 ",$0 
Adam Weber,Broncos,2011,3,,"$1,405,000 ","$468,333 ","$10,000 ",,0.40%,,"$3,258,783 ","$1,086,260 ","$23,194 "
Kurtis Rourke,49ers,2025,4,,"$4,334,236 ","$1,083,559 ","$134,236 ",,0.40%,,"$4,334,236 ","$1,083,559 ","$134,236 "
Quinn Ewers,Dolphins,2025,4,,"$4,331,576 ","$1,082,894 ","$131,576 ",,0.40%,,"$4,331,576 ","$1,082,894 ","$131,576 "
Jeff Tuel,Jaguars,2015,2,,"$1,110,000 ","$555,000 ",$0 ,,0.40%,,"$2,162,982 ","$1,081,491 ",$0 
David Fales,Bears,2015,2,,"$1,110,000 ","$555,000 ",$0 ,,0.40%,,"$2,162,982 ","$1,081,491 ",$0 
Brad Sorensen,Chargers,2015,2,,"$1,110,000 ","$555,000 ",$0 ,,0.40%,,"$2,162,982 ","$1,081,491 ",$0 
B.J. Daniels,HOU/SEA,2015,2,,"$1,110,000 ","$555,000 ",$0 ,,0.40%,,"$2,162,982 ","$1,081,491 ",$0 
David Fales,Bears,2015,2,,"$1,110,000 ","$555,000 ",$0 ,,0.40%,,"$2,162,982 ","$1,081,491 ",$0 
Alex McGough,Packers,2023,1,,"$870,000 ","$870,000 ",$0 ,,0.40%,,"$1,080,534 ","$1,080,534 ",$0 
Reid Sinnett,Bengals,2023,1,,"$870,000 ","$870,000 ",$0 ,,0.40%,,"$1,080,534 ","$1,080,534 ",$0 
Ben DiNucci,Broncos,2023,1,,"$870,000 ","$870,000 ",$0 ,,0.40%,,"$1,080,534 ","$1,080,534 ",$0 
Dan LeFevour,Buccaneers,2016,1,,"$600,000 ","$600,000 ",$0 ,,0.40%,,"$1,078,895 ","$1,078,895 ",$0 
David Fales,Bears,2016,1,,"$600,000 ","$600,000 ",$0 ,,0.40%,,"$1,078,895 ","$1,078,895 ",$0 
B.J. Daniels,Bears,2016,1,,"$600,000 ","$600,000 ",$0 ,,0.40%,,"$1,078,895 ","$1,078,895 ",$0 
McLeod Bethel-Thompson,Eagles,2016,1,,"$600,000 ","$600,000 ",$0 ,,0.40%,,"$1,078,895 ","$1,078,895 ",$0 
Anthony Gordon,Seahawks,2020,3,,"$2,297,500 ","$765,833 ","$12,500 ",,0.40%,,"$3,236,438 ","$1,078,812 ","$17,608 "
Case Cookus,Giants,2020,3,,"$2,295,000 ","$765,000 ","$35,000 ",,0.40%,,"$3,232,916 ","$1,077,639 ","$49,304 "
Reid Sinnett,Buccaneers,2020,3,,"$2,295,000 ","$765,000 ","$152,800 ",,0.40%,,"$3,232,916 ","$1,077,639 ","$215,246 "
Steven Montez,Commanders,2020,3,,"$2,295,000 ","$765,000 ","$35,000 ",,0.40%,,"$3,232,916 ","$1,077,639 ","$49,304 "
Josh Love,Rams,2020,3,,"$2,295,000 ","$765,000 ","$10,000 ",,0.40%,,"$3,232,916 ","$1,077,639 ","$14,087 "
Bailey Zappe,Browns,2024,1,,"$985,000 ","$985,000 ",$0 ,,0.40%,,"$1,076,789 ","$1,076,789 ",$0 
Ben DiNucci,Broncos,2024,1,,"$985,000 ","$985,000 ",$0 ,,0.40%,,"$1,076,789 ","$1,076,789 ",$0 
Jake Fromm,Lions,2024,1,,"$985,000 ","$985,000 ",$0 ,,0.40%,,"$1,076,789 ","$1,076,789 ",$0 
Ben DiNucci,Bills,2024,1,,"$985,000 ","$985,000 ",$0 ,,0.40%,,"$1,076,789 ","$1,076,789 ",$0 
Ian Book,Chiefs,2024,1,,"$985,000 ","$985,000 ",$0 ,,0.40%,,"$1,076,789 ","$1,076,789 ",$0 
Bailey Zappe,Browns,2024,1,,"$985,000 ","$985,000 ",$0 ,,0.40%,,"$1,076,789 ","$1,076,789 ",$0 
Feleipe Franks,Panthers,2024,1,,"$985,000 ","$985,000 ",$0 ,,0.40%,,"$1,076,789 ","$1,076,789 ",$0 
Desmond Ridder,Raiders,2024,1,,"$985,000 ","$985,000 ",$0 ,,0.40%,,"$1,076,789 ","$1,076,789 ",$0 
Kellen Mond,Saints,2024,1,,"$985,000 ","$985,000 ",$0 ,,0.40%,,"$1,076,789 ","$1,076,789 ",$0 
Jacob Eason,Packers,2024,1,,"$985,000 ","$985,000 ",$0 ,,0.40%,,"$1,076,789 ","$1,076,789 ",$0 
Feleipe Franks,Panthers,2024,1,,"$985,000 ","$985,000 ",$0 ,,0.40%,,"$1,076,789 ","$1,076,789 ",$0 
Riley Neal,Broncos,2020,3,,"$2,293,000 ","$764,333 ","$8,000 ",,0.40%,,"$3,230,099 ","$1,076,699 ","$11,269 "
Nathan Enderle,Jaguars,2012,1,,"$465,000 ","$465,000 ",$0 ,,0.40%,,"$1,076,517 ","$1,076,517 ",$0 
Kevin Davidson,Browns,2020,3,,"$2,292,500 ","$764,167 ","$17,500 ",,0.40%,,"$3,229,395 ","$1,076,465 ","$24,652 "
Jalen Morton,Packers,2020,3,,"$2,292,000 ","$764,000 ","$7,000 ",,0.40%,,"$3,228,690 ","$1,076,230 ","$9,861 "
Tyler Huntley,Ravens,2020,3,,"$2,290,000 ","$763,333 ","$30,000 ",,0.40%,,"$3,225,873 ","$1,075,290 ","$42,260 "
J'Mar Smith,Patriots,2020,3,,"$2,290,000 ","$763,333 ","$30,000 ",,0.40%,,"$3,225,873 ","$1,075,290 ","$42,260 "
Bryce Perkins,Rams,2020,3,,"$2,290,000 ","$763,333 ","$5,000 ",,0.40%,,"$3,225,873 ","$1,075,290 ","$7,043 "
Brett Rypien,Broncos,2020,2,,"$1,525,000 ","$762,500 ",$0 ,,0.40%,,"$2,148,234 ","$1,074,117 ",$0 
Mike White,Jets,2020,2,,"$1,525,000 ","$762,500 ",$0 ,,0.40%,,"$2,148,234 ","$1,074,117 ",$0 
David Blough,Lions,2020,2,,"$1,525,000 ","$762,500 ",$0 ,,0.40%,,"$2,148,234 ","$1,074,117 ",$0 
Brian Lewerke,Patriots,2020,3,,"$2,287,500 ","$762,500 ","$2,500 ",,0.40%,,"$3,222,351 ","$1,074,117 ","$3,522 "
Broc Rutter,49ers,2020,3,,"$2,285,279 ","$761,760 ",$279 ,,0.40%,,"$3,219,222 ","$1,073,075 ",$393 
Nick Tiano,Texans,2020,3,,"$2,285,000 ","$761,667 ",$0 ,,0.40%,,"$3,218,829 ","$1,072,944 ",$0 
Shea Patterson,Chiefs,2020,3,,"$2,285,000 ","$761,667 ",$0 ,,0.40%,,"$3,218,829 ","$1,072,944 ",$0 
David Fales,Bears,2014,3,,"$1,530,000 ","$510,000 ",$0 ,,0.40%,,"$3,211,850 ","$1,070,617 ",$0 
Matt Flynn,Packers,2008,4,,"$1,769,175 ","$442,294 ","$64,175 ",,0.40%,,"$4,258,221 ","$1,064,556 ","$154,463 "
Joe Callahan,Eagles,2018,2,,"$1,350,000 ","$675,000 ",$0 ,,0.40%,,"$2,127,088 ","$1,063,544 ",$0 
Jake Browning,Bengals,2024,2,,"$1,945,000 ","$972,500 ",$0 ,,0.40%,,"$2,126,249 ","$1,063,125 ",$0 
Jaren Hall,Seahawks,2024,2,,"$1,945,000 ","$972,500 ",$0 ,,0.40%,,"$2,126,249 ","$1,063,125 ",$0 
Jarrett Guarantano,Broncos,2022,2,,"$1,585,000 ","$792,500 ","$10,000 ",,0.40%,,"$2,125,514 ","$1,062,757 ","$13,410 "
Sean Renfree,Buccaneers,2017,1,,"$635,000 ","$635,000 ","$20,000 ",,0.40%,,"$1,061,629 ","$1,061,629 ","$33,437 "
Derek Anderson,CLE/BAL,2005,3,,"$974,500 ","$324,833 ","$49,500 ",,0.40%,,"$3,182,227 ","$1,060,741 ","$161,642 "
Kyle Sloter,Lions,2019,2,,"$1,430,000 ","$715,000 ",$0 ,,0.40%,,"$2,121,445 ","$1,060,723 ",$0 
Jake Rudock,Dolphins,2020,1,,"$750,000 ","$750,000 ",$0 ,,0.40%,,"$1,056,509 ","$1,056,509 ",$0 
Josh Rosen,49ers,2020,1,,"$750,000 ","$750,000 ",$0 ,,0.40%,,"$1,056,509 ","$1,056,509 ",$0 
Nick Mullens,49ers,2020,1,,"$750,000 ","$750,000 ",$0 ,,0.40%,,"$1,056,509 ","$1,056,509 ",$0 
Chase Garbers,Raiders,2022,2,,"$1,575,000 ","$787,500 ",$0 ,,0.40%,,"$2,112,104 ","$1,056,052 ",$0 
Mike White,Cowboys,2018,4,,"$2,677,556 ","$669,389 ","$217,556 ",,0.40%,,"$4,218,813 ","$1,054,703 ","$342,786 "
Brad Kaaya,DET/CAR,2017,4,,"$2,523,356 ","$630,839 ","$123,356 ",,0.40%,,"$4,218,689 ","$1,054,672 ","$206,234 "
Alex Tanney,Titans,2016,3,,"$1,170,000 ","$585,000 ",$0 ,,0.40%,,"$2,103,845 ","$1,051,922 ",$0 
Matt Hasselbeck,Packers,1998,3,,"$590,000 ","$196,667 ","$50,000 ",,0.40%,,"$3,144,384 ","$1,048,130 ","$266,473 "
John Rhys Plumlee,Steelers,2024,3,,"$2,865,000 ","$955,000 ","$35,000 ",,0.40%,,"$3,131,981 ","$1,043,994 ","$38,262 "
Kedon Slovis,Colts,2024,3,,"$2,860,000 ","$953,333 ","$30,000 ",,0.40%,,"$3,126,515 ","$1,042,171 ","$32,796 "
Carter Bradley,Raiders,2024,3,,"$2,855,000 ","$951,667 ","$125,000 ",,0.40%,,"$3,121,049 ","$1,040,350 ","$136,648 "
Tanner Mordecai,49ers,2024,3,,"$2,855,000 ","$951,667 ","$125,000 ",,0.40%,,"$3,121,049 ","$1,040,350 ","$136,648 "
Case Keenum,Texans,2014,1,,"$495,000 ","$495,000 ",$0 ,,0.40%,,"$1,039,128 ","$1,039,128 ",$0 
Greg McElroy,Bengals,2014,1,,"$495,000 ","$495,000 ",$0 ,,0.40%,,"$1,039,128 ","$1,039,128 ",$0 
Tyler Wilson,Bengals,2014,1,,"$495,000 ","$495,000 ",$0 ,,0.40%,,"$1,039,128 ","$1,039,128 ",$0 
Jason Bean,Colts,2024,3,,"$2,850,000 ","$950,000 ","$20,000 ",,0.40%,,"$3,115,583 ","$1,038,528 ","$21,864 "
Sam Hartman,Commanders,2024,3,,"$2,850,000 ","$950,000 ","$245,000 ",,0.40%,,"$3,115,583 ","$1,038,528 ","$267,831 "
Easton Stick,Chargers,2019,4,,"$2,798,620 ","$699,655 ","$278,620 ",,0.40%,,"$4,151,832 ","$1,037,958 ","$413,341 "
Ryan Fitzpatrick,LAR/CIN,2005,3,,"$953,250 ","$317,750 ","$28,250 ",,0.40%,,"$3,112,835 ","$1,037,612 ","$92,250 "
Clayton Thorson,Eagles,2019,4,,"$2,794,368 ","$698,592 ","$274,368 ",,0.40%,,"$4,145,524 ","$1,036,381 ","$407,033 "
Rocky Lombardi,Bengals,2024,3,,"$2,840,000 ","$946,667 ","$10,000 ",,0.40%,,"$3,104,652 ","$1,034,884 ","$10,932 "
Casey Bauman,Chargers,2024,3,,"$2,840,000 ","$946,667 ","$10,000 ",,0.40%,,"$3,104,652 ","$1,034,884 ","$10,932 "
Jack Plummer,Panthers,2024,3,,"$2,840,000 ","$946,667 ","$10,000 ",,0.40%,,"$3,104,652 ","$1,034,884 ","$10,932 "
Chevan Cordeiro,Seahawks,2024,3,,"$2,837,500 ","$945,833 ","$17,500 ",,0.40%,,"$3,101,919 ","$1,033,972 ","$19,131 "
Tommy DeVito,Giants,2023,2,,"$1,665,000 ","$832,500 ",$0 ,,0.40%,,"$2,067,918 ","$1,033,959 ",$0 
Austin Reed,Bears,2024,3,,"$2,835,000 ","$945,000 ","$5,000 ",,0.40%,,"$3,099,186 ","$1,033,062 ","$5,466 "
John Paddock,Falcons,2024,3,,"$2,835,000 ","$945,000 ","$5,000 ",,0.40%,,"$3,099,186 ","$1,033,062 ","$5,466 "
Gavin Hardison,Dolphins,2024,3,,"$2,835,000 ","$945,000 ","$5,000 ",,0.40%,,"$3,099,186 ","$1,033,062 ","$5,466 "
Zack Annexstad,Buccaneers,2024,3,,"$2,833,000 ","$944,333 ","$3,000 ",,0.40%,,"$3,096,999 ","$1,032,333 ","$3,280 "
Peewee Jarrett,Jets,2024,3,,"$2,833,000 ","$944,333 ","$15,000 ",,0.40%,,"$3,096,999 ","$1,032,333 ","$16,398 "
Colby Suits,Jets,2024,3,,"$2,830,000 ","$943,333 ",$0 ,,0.40%,,"$3,093,720 ","$1,031,240 ",$0 
Andrew Peasley,Jets,2024,3,,"$2,830,000 ","$943,333 ",$0 ,,0.40%,,"$3,093,720 ","$1,031,240 ",$0 
Jacob Sirmon,Browns,2024,3,,"$2,830,000 ","$943,333 ",$0 ,,0.40%,,"$3,093,720 ","$1,031,240 ",$0 
