Player,Team,Year,Years,,Value,APY,Guaranteed,,APY as % Of,,Inflated,Inflated,Inflated
,,Signed,,,,,,,Cap At Signing,,Value,APY,Guaranteed
Ben Roethlisberger,Steelers,2015,4,,"$87,400,000 ","$21,850,000 ","$34,250,000 ",,15.20%,,"$170,310,441 ","$42,577,610 ","$66,740,648 "
Derek Carr,Raiders,2017,5,,"$125,025,000 ","$25,005,000 ","$40,000,000 ",,15.00%,,"$209,023,832 ","$41,804,766 ","$66,874,251 "
Peyton Manning,Colts,2011,5,,"$90,000,000 ","$18,000,000 ","$20,000,000 ",,15.00%,,"$208,747,664 ","$41,749,533 ","$46,388,370 "
Ryan Tannehill,Titans,2020,4,,"$118,000,000 ","$29,500,000 ","$62,000,000 ",,14.90%,,"$166,224,016 ","$41,556,004 ","$87,338,042 "
Jacoby Brissett,Colts,2019,1,,"$27,975,000 ","$27,975,000 ","$20,000,000 ",,14.90%,,"$41,501,700 ","$41,501,700 ","$29,670,563 "
Peyton Manning,Colts,1998,6,,"$46,314,000 ","$7,719,000 ","$11,600,000 ",,14.70%,,"$246,828,831 ","$41,138,139 ","$61,821,791 "
Eli Manning,Giants,2015,4,,"$84,000,000 ","$21,000,000 ","$36,500,000 ",,14.70%,,"$163,685,092 ","$40,921,273 ","$71,125,070 "
Tony Romo,Cowboys,2013,6,,"$108,000,000 ","$18,000,000 ","$40,000,000 ",,14.60%,,"$245,151,220 ","$40,858,537 ","$90,796,748 "
Philip Rivers,Chargers,2015,4,,"$83,250,000 ","$20,812,500 ","$37,500,000 ",,14.50%,,"$162,223,618 ","$40,555,905 ","$73,073,702 "
Cam Newton,Panthers,2015,5,,"$103,800,000 ","$20,760,000 ","$41,000,000 ",,14.50%,,"$202,268,007 ","$40,453,601 ","$79,893,914 "
John Elway,Broncos,1996,5,,"$29,500,000 ","$5,900,000 ","$6,250,000 ",,14.50%,,"$202,105,366 ","$40,421,073 ","$42,818,934 "
Lamar Jackson,Ravens,2023,1,,"$32,416,000 ","$32,416,000 ",$0 ,,14.40%,,"$40,260,441 ","$40,260,441 ",$0 
Matt Stafford,Lions,2013,3,,"$53,000,000 ","$17,666,667 ","$33,500,000 ",,14.40%,,"$120,305,691 ","$40,101,898 ","$76,042,276 "
Kirk Cousins,Commanders,2017,1,,"$23,943,600 ","$23,943,600 ","$23,943,600 ",,14.30%,,"$40,030,258 ","$40,030,258 ","$40,030,258 "
Matt Stafford,Rams,2025,2,,"$80,000,000 ","$40,000,000 ","$40,000,000 ",,14.30%,,"$80,000,000 ","$40,000,000 ","$40,000,000 "
Colin Kaepernick,49ers,2014,6,,"$114,000,000 ","$19,000,000 ","$12,973,766 ",,14.30%,,"$239,314,286 ","$39,885,714 ","$27,235,154 "
Joe Flacco,BAL/DEN,2016,3,,"$66,400,000 ","$22,133,333 ","$44,000,000 ",,14.30%,,"$119,397,694 ","$39,799,231 ","$79,118,954 "
Drew Brees,Saints,2018,2,,"$50,000,000 ","$25,000,000 ","$27,000,000 ",,14.10%,,"$78,781,038 ","$39,390,519 ","$42,541,761 "
Jake Plummer,Cardinals,1998,4,,"$29,491,200 ","$7,372,800 ","$15,000,000 ",,14.10%,,"$157,172,311 ","$39,293,078 ","$79,941,971 "
Tom Brady,Patriots,2005,4,,"$48,000,000 ","$12,000,000 ","$26,500,000 ",,14.00%,,"$156,743,860 ","$39,185,965 ","$86,535,673 "
Tom Brady,Patriots,2010,4,,"$72,000,000 ","$18,000,000 ","$18,300,000 ",,14.00%,,"$155,832,558 ","$38,958,140 ","$39,607,442 "
Steve Young,49ers,2000,5,,"$43,025,000 ","$8,605,000 ",$0 ,,13.80%,,"$193,215,274 ","$38,643,055 ",$0 
Tom Brady,Buccaneers,2021,1,,"$25,000,000 ","$25,000,000 ","$25,000,000 ",,13.70%,,"$38,246,575 ","$38,246,575 ","$38,246,575 "
Jay Cutler,Bears,2014,7,,"$126,700,000 ","$18,100,000 ","$38,000,000 ",,13.60%,,"$265,974,737 ","$37,996,391 ","$79,771,429 "
Carson Palmer,Cardinals,2016,1,,"$21,000,000 ","$21,000,000 ","$11,650,000 ",,13.50%,,"$37,761,319 ","$37,761,319 ","$20,948,541 "
Ryan Tannehill,Dolphins,2015,4,,"$77,000,000 ","$19,250,000 ","$21,500,000 ",,13.40%,,"$150,044,668 ","$37,511,167 ","$41,895,589 "
Geno Smith,Raiders,2025,2,,"$75,000,000 ","$37,500,000 ","$58,500,000 ",,13.40%,,"$75,000,000 ","$37,500,000 ","$58,500,000 "
Michael Vick,Eagles,2011,5,,"$80,000,000 ","$16,000,000 ","$32,500,000 ",,13.30%,,"$185,553,479 ","$37,110,696 ","$75,381,101 "
Alex Smith,Commanders,2018,4,,"$94,000,000 ","$23,500,000 ","$55,000,000 ",,13.30%,,"$148,108,352 ","$37,027,088 ","$86,659,142 "
