player_id,player_name,draft_year,draft_team,pick_number,season,years_since_draft,got_paid,payment_year,years_to_payment,total_yards_adj
LeinMa00,Matt Leinart,2006.0,ARI,10,2007,1.0,False,,,721.726838030373
LeinMa00,Matt Leinart,2006.0,ARI,10,2008,2.0,False,,,280.9921323580129
LeinMa00,Matt Leinart,2006.0,ARI,10,2009,3.0,False,,,446.8798684884654
LeinMa00,Matt Leinart,2006.0,ARI,10,2011,5.0,False,,,58.01159443229212
LeinMa00,Matt Leinart,2006.0,ARI,10,2012,6.0,False,,,118.80267976253435
LockJa00,Jake Locker,2011.0,TEN,8,2011,0.0,False,,,619.480954830548
LockJa00,Jake Locker,2011.0,TEN,8,2012,1.0,False,,,2548.575747601498
LockJa00,Jake Locker,2011.0,TEN,8,2013,2.0,False,,,1453.6515958217572
LockJa00,Jake Locker,2011.0,TEN,8,2014,3.0,False,,,1166.1042437307517
LosmJ.00,J.P. Losman,2004.0,BUF,22,2004,0.0,False,,,49.648618670817285
LosmJ.00,J.P. Losman,2004.0,BUF,22,2005,1.0,False,,,1573.7579162592226
LosmJ.00,J.P. Losman,2004.0,BUF,22,2006,2.0,False,,,3351.9349453323543
LosmJ.00,J.P. Losman,2004.0,BUF,22,2007,3.0,False,,,1376.4137375499422
LosmJ.00,J.P. Losman,2004.0,BUF,22,2008,4.0,False,,,683.1555931678082
LosmJ.00,J.P. Losman,2004.0,BUF,22,2009,5.0,False,,,0.0
LoveJo03,Jordan Love,2020.0,GNB,26,2021,1.0,True,2023.0,-2.0,441.5331890786316
LoveJo03,Jordan Love,2020.0,GNB,26,2022,2.0,True,2023.0,-1.0,195.0404879162609
LoveJo03,Jordan Love,2020.0,GNB,26,2023,3.0,True,2023.0,0.0,4417.783837162037
LoveJo03,Jordan Love,2020.0,GNB,26,2024,4.0,True,2023.0,1.0,3472.0
LuckAn00,Andrew Luck,2012.0,IND,1,2012,0.0,True,2016.0,-4.0,4782.066127137144
LuckAn00,Andrew Luck,2012.0,IND,1,2013,1.0,True,2016.0,-3.0,4325.927038168362
LuckAn00,Andrew Luck,2012.0,IND,1,2014,2.0,True,2016.0,-2.0,5171.95485721639
LuckAn00,Andrew Luck,2012.0,IND,1,2015,3.0,True,2016.0,-1.0,2128.087452992904
LuckAn00,Andrew Luck,2012.0,IND,1,2016,4.0,True,2016.0,0.0,4680.884989438898
LuckAn00,Andrew Luck,2012.0,IND,1,2017,5.0,True,2016.0,1.0,0.0
LuckAn00,Andrew Luck,2012.0,IND,1,2018,6.0,True,2016.0,2.0,4818.109914961137
LyncPa00,Paxton Lynch,2016.0,DEN,26,2016,0.0,False,,,533.3817866158273
LyncPa00,Paxton Lynch,2016.0,DEN,26,2017,1.0,False,,,331.1837123698084
MahoPa00,Patrick Mahomes,2017.0,KAN,10,2017,0.0,True,2020.0,-3.0,299.59388134376513
MahoPa00,Patrick Mahomes,2017.0,KAN,10,2018,1.0,True,2020.0,-2.0,5456.3240104253
MahoPa00,Patrick Mahomes,2017.0,KAN,10,2019,2.0,True,2020.0,-1.0,4306.434134925453
MahoPa00,Patrick Mahomes,2017.0,KAN,10,2020,3.0,True,2020.0,0.0,5102.440259975425
MahoPa00,Patrick Mahomes,2017.0,KAN,10,2021,4.0,True,2020.0,1.0,5262.107869841226
MahoPa00,Patrick Mahomes,2017.0,KAN,10,2022,5.0,True,2020.0,2.0,5638.077609455624
MahoPa00,Patrick Mahomes,2017.0,KAN,10,2023,6.0,True,2020.0,3.0,4584.227803791384
MannEl00,Eli Manning,2004.0,SDG,1,2004,0.0,False,,,1138.7491686625751
MannEl00,Eli Manning,2004.0,SDG,1,2005,1.0,False,,,4047.1070376626058
MannEl00,Eli Manning,2004.0,SDG,1,2006,2.0,False,,,3429.6670625227634
MannEl00,Eli Manning,2004.0,SDG,1,2007,3.0,False,,,3566.734228582613
MannEl00,Eli Manning,2004.0,SDG,1,2008,4.0,False,,,3392.79719664991
MannEl00,Eli Manning,2004.0,SDG,1,2009,5.0,False,,,4256.296369799229
MannEl00,Eli Manning,2004.0,SDG,1,2010,6.0,False,,,4229.959789049847
ManuEJ00,EJ Manuel,2013.0,BUF,16,2013,0.0,False,,,2223.231852433276
ManuEJ00,EJ Manuel,2013.0,BUF,16,2014,1.0,False,,,914.3901118241135
ManuEJ00,EJ Manuel,2013.0,BUF,16,2015,2.0,False,,,640.3729697258377
ManuEJ00,EJ Manuel,2013.0,BUF,16,2016,3.0,False,,,156.33604090463902
ManuEJ00,EJ Manuel,2013.0,BUF,16,2017,4.0,False,,,285.3275060416811
ManzJo00,Johnny Manziel,2014.0,CLE,22,2014,0.0,False,,,209.59054248552715
ManzJo00,Johnny Manziel,2014.0,CLE,22,2015,1.0,False,,,1772.5523802011187
MariMa01,Marcus Mariota,2015.0,TEN,2,2015,0.0,False,,,3145.512027293315
MariMa01,Marcus Mariota,2015.0,TEN,2,2016,1.0,False,,,3857.310813170015
MariMa01,Marcus Mariota,2015.0,TEN,2,2017,2.0,False,,,3611.431005041849
MariMa01,Marcus Mariota,2015.0,TEN,2,2018,3.0,False,,,2931.9230340988997
MariMa01,Marcus Mariota,2015.0,TEN,2,2019,4.0,False,,,1350.004769997812
MariMa01,Marcus Mariota,2015.0,TEN,2,2020,5.0,False,,,317.38633946756806
MariMa01,Marcus Mariota,2015.0,TEN,2,2021,6.0,False,,,91.73406439761524
MayeDr00,Drake Maye,2024.0,NWE,3,2024,0.0,False,,,2697.0
MayfBa00,Baker Mayfield,2018.0,CLE,1,2018,0.0,False,,,3918.715847308615
MayfBa00,Baker Mayfield,2018.0,CLE,1,2019,1.0,False,,,4021.635831344833
MayfBa00,Baker Mayfield,2018.0,CLE,1,2020,2.0,False,,,3768.2046927869214
MayfBa00,Baker Mayfield,2018.0,CLE,1,2021,3.0,False,,,3169.36152160552
MayfBa00,Baker Mayfield,2018.0,CLE,1,2022,4.0,False,,,2264.0782411722657
MayfBa00,Baker Mayfield,2018.0,CLE,1,2022,4.0,False,,,2264.0782411722657
MayfBa00,Baker Mayfield,2018.0,CLE,1,2022,4.0,False,,,2264.0782411722657
MayfBa00,Baker Mayfield,2018.0,CLE,1,2022,4.0,False,,,2226.879797600608
MayfBa00,Baker Mayfield,2018.0,CLE,1,2022,4.0,False,,,2226.879797600608
MayfBa00,Baker Mayfield,2018.0,CLE,1,2022,4.0,False,,,2226.879797600608
MayfBa00,Baker Mayfield,2018.0,CLE,1,2022,4.0,False,,,2211.79934750399
MayfBa00,Baker Mayfield,2018.0,CLE,1,2022,4.0,False,,,2211.79934750399
MayfBa00,Baker Mayfield,2018.0,CLE,1,2022,4.0,False,,,2211.79934750399
MayfBa00,Baker Mayfield,2018.0,CLE,1,2022,4.0,False,,,1409.519402363906
MayfBa00,Baker Mayfield,2018.0,CLE,1,2022,4.0,False,,,1409.519402363906
MayfBa00,Baker Mayfield,2018.0,CLE,1,2022,4.0,False,,,1409.519402363906
MayfBa00,Baker Mayfield,2018.0,CLE,1,2022,4.0,False,,,1372.320958792248
MayfBa00,Baker Mayfield,2018.0,CLE,1,2022,4.0,False,,,1372.320958792248
MayfBa00,Baker Mayfield,2018.0,CLE,1,2022,4.0,False,,,1372.320958792248
MayfBa00,Baker Mayfield,2018.0,CLE,1,2022,4.0,False,,,1357.24050869563
MayfBa00,Baker Mayfield,2018.0,CLE,1,2022,4.0,False,,,1357.24050869563
MayfBa00,Baker Mayfield,2018.0,CLE,1,2022,4.0,False,,,1357.24050869563
MayfBa00,Baker Mayfield,2018.0,CLE,1,2022,4.0,False,,,944.0361760482938
